Date,Open,High,Low,Close,Adj Close,Volume
12-01-2005,80.82,81.18,80.57,81.099998,62.635082,172900
13-01-2005,80.599998,80.889999,79.959999,80.209999,61.947716,171000
14-01-2005,80.919998,81.75,80.75,81.5,62.944027,171000
18-01-2005,80.459999,80.93,80.25,80.720001,62.34161,171800
19-01-2005,80.150002,80.449997,79.470001,79.599998,61.476604,181500
20-01-2005,78.879997,79,78.059998,78.309998,60.480324,359300
21-01-2005,78.650002,79.099998,78.599998,78.809998,60.866474,197300
24-01-2005,78.699997,78.910004,78.550003,78.589996,60.69656,105800
25-01-2005,77.5,77.949997,77.199997,77.75,60.047832,525500
26-01-2005,78.5,78.949997,78.449997,78.75,60.820148,194600
27-01-2005,77.599998,77.82,77.400002,77.610001,59.939705,258400
28-01-2005,77.480003,77.779999,77.050003,77.050003,59.507198,326400
31-01-2005,78.050003,78.279999,77.900002,78.190002,60.38763,160600
01-02-2005,78.400002,78.760002,78.050003,78.650002,60.742897,267100
02-02-2005,78.889999,79.099998,78.339996,78.720001,60.796959,280500
03-02-2005,77.82,77.830002,77.050003,77.510002,59.862457,299600
04-02-2005,78.25,78.669998,77.910004,78.629997,60.727474,255600
07-02-2005,77.739998,78.050003,77.620003,77.730003,60.032364,384800
08-02-2005,77.269997,77.650002,77.150002,77.379997,59.762058,220200
09-02-2005,77.550003,78.239998,77.550003,77.790001,60.078712,190600
10-02-2005,78.25,78.699997,78.230003,78.610001,60.712002,159000
11-02-2005,78.68,79.400002,78.5,79.099998,61.090466,169400
